Advisor,Location,Region,Sales Jan 22,Trades Jan 22,Sales Feb 22,Trades Feb 22,Sales Mar 22,Trades Mar 22,Sales Apr 22,Trades Apr 22,Sales May 22,Trades May 22,Sales Jun 22,Trades Jun 22,Sales Jul 22,Trades Jul 22,Sales Aug 22,Trades Aug 22,Sales Sep 22,Trades Sep 22,Sales Oct 22,Trades Oct 22,Sales Nov 22,Trades Nov 22,Sales Dec 22,Trades Dec 22,Sales Jan 23,Trades Jan 23,Sales Feb 23,Trades Feb 23,Sales Mar 23,Trades Mar 23,Sales Apr 23,Trades Apr 23,Sales May 23,Trades May 23,Sales Jun 23,Trades Jun 23,Sales Jul 23,Trades Jul 23,Sales Aug 23,Trades Aug 23,Sales Sep 23,Trades Sep 23,Sales Oct 23,Trades Oct 23,Sales Nov 23,Trades Nov 23,Sales Dec 23,Trades Dec 23,Sales Jan 24,Trades Jan 24,Sales Feb 24,Trades Feb 24,Sales Mar 24,Trades Mar 24,Sales Apr 24,Trades Apr 24,Sales May 24,Trades May 24,Sales Jun 24,Trades Jun 24,Sales Jul 24,Trades Jul 24,Sales Aug 24,Trades Aug 24,Sales Sep 24,Trades Sep 24
Bob,Toronto,America,266873.71,83,513679.36,73,795087.43,18,872547.72,53,225835.36,5,347688.77,16,723163.3,57,130612.1,80,938612.81,2,229505.32,8,135537.82,13,429947.74,34,594927.23,92,229017.69,69,476382.72,12,762609.24,76,817640.42,59,89177.03,18,197222.29,6,997636.97,53,934192.09,88,211988.42,7,354504.82,33,305618.67,46,836029.12,8,84555.2,38,758957.3,12,316488.71,13,28216.79,18,454600.59,71,468132.62,55,54835.42,11,740068.35,66
Bob,Berlin,Europe,326245.9,74,435699.01,56,895095.86,69,699893.09,60,342300.41,47,4422.26,0,744607.15,26,319988.27,59,602381.29,11,566215.23,88,888981.93,33,85591.94,90,355045.68,84,997366.53,37,826955.18,97,340349.3,15,339638.49,6,375399.96,52,112312.07,18,757633.87,57,126080.11,2,512176.93,8,565773.64,77,639135.63,87,891346.61,52,799246.72,43,459229.83,80,909843.29,32,757055.1,78,317359.68,90,656063.56,89,868814.13,99,104712.1,2
Adam,Los Angeles,America,217682.69,23,314766.92,36,732695.08,99,221535.02,53,382310.74,6,240567.44,7,245347.35,51,249152.42,42,217457.12,76,504593.96,36,703398.94,89,41183.81,49,581762.91,29,977603.23,55,216288.65,86,530680.71,89,125503.92,66,151326.26,62,249425.65,31,687694.49,94,485504.31,13,673966.19,69,87011.81,51,236758.76,29,947146.66,54,852296.3,91,950875.74,65,867875.62,28,591550.79,97,694423.24,27,998693.85,29,339718.26,30,727573.93,6
Charlie,Los Angeles,America,641257.03,99,37162.45,7,880041.3,27,403188.42,43,101690.42,56,665343.02,82,624869.34,18,965369.09,35,486551.23,30,339005.09,80,257577.65,16,43152.63,38,363549.97,18,33957.11,28,832651.34,77,467141.25,5,261285.54,73,68763.59,5,774072.6,86,997928.32,75,364375.81,22,297048.62,3,516229.41,2,604147.38,43,785237.68,59,162485.85,90,724889.48,51,60384.85,31,992168.04,78,558310.83,26,68953.44,87,244456.89,12,521807.4,9
Charlie,Shanghai,Asia,145585.35,1,503666.46,90,158017.09,63,553623.93,8,804615.54,33,880054.74,33,371378.39,37,232237.45,31,254254.96,49,823603.29,73,690116.96,68,66583.63,83,881909.87,44,660960.27,5,730294.46,53,668923.46,58,416205.31,21,941351.93,33,937695.26,70,144971.18,65,772582.54,47,52309.04,58,527629.76,19,872105.75,11,417467.79,70,415371.54,48,593779.29,84,429259.71,48,76732.33,81,664001.59,48,277762.79,90,965151.33,39,926253.05,89
Charlie,Hong Kong,Asia,493935.46,37,543479.55,78,200379.61,16,435688.43,5,662000.91,83,24160.57,73,222788.89,77,38102.43,57,524024.69,7,124352.06,81,326794.29,22,765995.46,54,490658.83,70,187204.42,24,541859.05,56,237565.32,5,523706.26,83,48184.3,97,709521.23,71,456594.78,48,628902.79,22,37477.48,19,205074.69,14,754124.28,10,833834.96,13,91702.14,67,33469.78,29,75580.59,57,342117.34,25,184061.7,0,725801.12,13,788897.42,89,258100.28,64
Grace,Johannesburg,Africa,679449.96,99,215270.03,36,110752.75,76,118469.71,96,726891.81,64,292660.99,86,385395.23,51,792149.84,14,504703.28,64,366613.6,97,135679.74,68,211976.84,5,432009.56,3,115521.84,56,620044.87,21,301551.75,47,29913.57,81,700174.05,92,125802.65,48,327554.01,73,379632.7,42,922939.97,59,944731.19,23,968430.55,39,692997.93,51,243145.37,30,241038.46,19,612765.27,91,26958.31,84,346125.95,41,174271.45,70,926473.98,11,567484.73,79
Grace,Lagos,Africa,659270.27,10,162287.3,20,127340.17,98,284303.18,95,239965.76,45,264286.92,31,327234.52,88,96905.52,84,952532.68,82,620379.33,68,214332.21,77,125641.24,85,782752.36,26,639441.32,73,237640.61,31,150298.79,34,650266.99,62,308896.59,4,444202.34,4,784615.17,86,885858.35,55,948108.67,99,782702.65,29,661607.62,23,326203.65,22,885812.57,27,993353.34,59,469069.25,98,351879.66,81,727310.24,95,937323.66,77,484070.74,47,426088.06,34
Bob,Johannesburg,Africa,716700.37,79,293886.32,83,322756.78,75,313362.97,68,801504.78,56,463117.66,8,768568.37,92,719399.43,63,2786.06,69,581301.23,73,177546.11,49,57007.1,56,676459.24,51,889701.56,72,960020.27,4,641481.93,93,411630.3,44,826058.66,18,821903.58,2,851242.95,40,142721.25,70,281675.51,16,437776.86,85,310271.84,96,477005.77,45,551837.89,86,143646.93,92,464598.26,79,606558.91,93,543144.99,49,356491.06,4,823674.95,97,524306.07,18
Adam,Buenos Aires,America,220287.87,73,562916.42,50,510260.79,66,503679.62,5,847641.58,92,599497.36,77,769290.56,73,99647.27,63,100924.97,43,715728.59,63,607051.81,68,243805.2,35,102995.34,5,793954.59,99,70593.96,97,520677.32,48,947472.51,25,682316.61,81,321232.4,13,205840.27,74,43097.89,61,72118.21,11,980566.76,44,268667.6,57,512517.84,76,871835.72,9,428845.32,48,199708.65,59,618930.93,5,485688.66,1,341084.21,19,813428.14,36,947727.86,39
